"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS000001","VA0850300BWC","Woodstock","Shenandoah County","VA","Woodstock Police Department","Police","The Woodstock Police Department has used body-worn cameras since at least 2012.","Municipal","Body-worn Cameras","","VML Insurance Programs","https://www.vrsa.us/body-camera-footage-corroborates-police-accounts-in-woodstock-shooting/","","Virgina Risk Sharing Association","","12/27/2012","","","","","","","","","","",""
"AOS000008","NY0356300BWC","Newburgh","Orange County","NY","Newburgh Police Department","Police","The Newburgh Police Department began a body-worn camera program in 2015 and began with 20 cameras.","Municipal","Body-worn Cameras","","WatchGuard","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/body-worn_camera_pilot_program.pdf","","Public Report","","09/03/2015","https://www.cityofnewburgh-ny.gov/sites/newburghny/files/u279/o-038_body-worn_camera.pdf","","Policy Document","","08/05/2016","","","","","",""
"AOS000009","OR0290400BWC","Tillamook","Tillamook County","OR","Tillamook Police Department","Police","The Tillamook Police Department's Facebook page shows officers with body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.facebook.com/tillamookpolicedepartment/photos/a.496649310478379/837121463097827/?type=3&theater","","Tillamook Police Department Facebook","","12/15/2016","","","","","","","","","","",""
"AOS000010","NC0590000BWC","Williamston","Martin County","NC","Martin County Sheriff's Office","Sheriff","In 2016, the Martin County Sheriff’s Office purchased body-worn cameras with a $15,000 grant from the governor.","County","Body-worn Cameras","","Coban","http://www.martincountyncgov.com/_fileUploads/minutes/413201642528PM.pdf","","Martin County Board of Commissioners","","04/13/2016","https://www.facebook.com/SheriffofMartinCounty/photos/a.560147534038931/1480950511958624/?type=3&theater","","Martin County Sheriff's Facebook","","09/17/2017","","","","","",""
"AOS000011","GA0560200BWC","Peachtree City","Fayette County","GA","Peachtree City Police Department","Police","As of June 2018, all officers in the Peachtree City Police Department use body-worn cameras.","Municipal","Body-worn Cameras","","","https://thecitizen.com/2018/06/04/police-body-cameras-now-common-use-fayetteville-peachtree-city-tyrone/","","The Citizen","","06/04/2018","","","","","","","","","","",""
"AOS000012","NM0160000BWC","Deming","Luna County","NM","Luna County Sheriff's Department","Sheriff","The Luna County Sheriff's Department began using Axon body-worn cameras in 2014.","County","Body-worn Cameras","","Axon","https://investor.axon.com/press-releases/press-release-details/2014/CORRECTION---TASER-International/default.aspx","","Axon","","09/15/2014","","","","","","","","","","",""
"AOS000013","CO0190100BWC","Vail","Eagle County","CO","Vail Police Department","Police","As of 2016, all Vail Police Department officers are equipped with Coban body-worn cameras.","Municipal","Body-worn Cameras","","Coban","http://www.vailgov.com/Portals/0/docs/Police/VPD%20BWC%20policy.pdf","","Vail Police Department","","","https://www.vailgov.com/Portals/0/docs/Police/annual-reports/VPD-Annual-Report-2016.pdf","","Vail Police Department","","2016","","","","","",""
"AOS000014","TX2210000BWC","Abilene","Taylor County","TX","Taylor County Sheriff's Office","Sheriff","In April 2016, the Taylor County Sheriff's Office purchased Coban body-worn cameras with matching funds from the state Criminal Justice Division.","County","Body-worn Cameras","","Coban","https://ktxs.com/news/abilene/body-cameras-approved-for-taylor-county-sheriffs-office","","KTXS-TV","","04/05/2016","http://taylorcountytexas.org/AgendaCenter/ViewFile/Agenda/04052016-123?html=true","","Taylor County Commissioner's Court","","04/05/2016","http://archive.reporternews.com/news/local/taylor-county-commissioners-court-approves-purchase-of-body-worn-cameras-2fc0e096-6621-2b28-e053-010-374632471.html/","","Abeline Reporter News","","04/05/2016",""
"AOS000015","FL0420100BWC","Ocala","Marion County","FL","Ocala Police Department","Police","In September 2014, the Oscala Police Department received $130,775 to purchase 130 body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.usatoday.com/story/news/2014/09/18/ocala-police-body-cameras/15862567/","","Associated Press","","09/18/2014","https://www.facebook.com/watch/?v=654330455017199","","Facebook: Ocala Police Department","","09/05/2018","","","","","",""
"AOS000016","ND0180800BWC","Grand Forks","Grand Forks County","ND","University of North Dakota Police Department","Police","The University of North Dakota Police Department began using body-worn cameras in 2014.","University","Body-worn Cameras","","","https://www.prairiebusinessmagazine.com/news/education/3971414-cameras-new-officers-among-measures-bolster-und-security","","Prairie Business Magazine","","08/26/2014","","","","","","","","","","",""
"AOS000018","NM0261200BWC","Edgewood","Santa Fe County","NM","Edgewood Police Department","Police","The Town of Edgewood spent $7,510 on Coban-brand body-worn cameras in March 2016.","Municipal","Body-worn Cameras","","Coban","https://www.facebook.com/edgewoodpolicedepartmentnm/photos/a.961972543924308/2615310265257186/?type=3&theater","","Facebook","","12/12/2019","https://www.edgewood-nm.gov/document_center/Agendas%20Council/2016/04202016.pdf","","Town of Edgewood public meeting agenda","","4/20/2016","","","","","",""
"AOS000019","TX1230000BWC","Beaumont","Jefferson County","TX","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://co.jefferson.tx.us/agenda/agendas_pl/20160711_346/Attachments/RESOLUTION%20FOR%20BODY%20WORN%20CAMERA%20GRANT.pdf","","Jefferson County Commissioner's Court","","2016","https://www.facebook.com/jcso.beaumont/photos/a.1145453048802759/2832732920074755/?type=3&theater","","Facebook","","07/19/2019","https://www.wbrc.com/story/37999426/jefferson-county-sheriff-announces-iris-detecting-technology-as-a-way-to-track-sex-offenders/","","www.wbrc.com","","",""
"AOS000021","AL0470200BWC","Madison","Madison County","AL","Madison Police Department","Police","The Madison Police Department purchased 63 Coban body-worn cameras in 2018.","Municipal","Body-worn Cameras","","Coban","https://whnt.com/2018/04/25/madison-police-to-get-body-worn-cameras-and-phase-them-in-this-year/","","WHNT News","","04/25/2018","https://www.waaytv.com/content/news/Madison-Police-Department-to-get-body-worn-cameras--480635881.html","","WAAY 31","","04/23/2018","","","","","",""
"AOS000022","NC0740300BWC","Greenville","Pitt County","NC","Greenville Police Department","Police","The Greenville Police Department implemented body-worn cameras in 2017, starting with 200 Coban-brand cameras.","Municipal","Body-worn Cameras","","Coban","https://web.archive.org/web/20170624104403/https://www.reflector.com/news/2017/05/26/greenville-police-rolling-out-body-cameras.html","","The Daily Reflector","","05/26/2017","https://www.greenvilleonline.com/story/news/crime/2018/06/26/greenville-police-phase-out-dashcams-rely-body-cameras/714662002/","","Greenville News (part of USA Today)","","06/26/2018","","","","","",""
"AOS000023","TX1520600BWC","Lubbock","Lubbock County","TX","Texas Tech Police Department","Police","The Texas Tech Police Department has been uses Coban body-worn cameras.","University","Body-worn Cameras","","Coban","https://www.facebook.com/TTAA/photos/pcb.10155445970627131/10155445968027131/?type=3&theater","","Facebook","","09/10/2018","https://www.kcbd.com/story/36556988/texas-tech-police-officer-shot-killed-on-campus-suspect-in-custody/","","KCBD News","","09/10/2017","","","","","",""
"AOS000027","OH0480200BWC","Oregon","Lucas County","OH","Oregon Police Division","Police","The Oregon Police Division began using body-worn cameras in 2016.","Municipal","Body-worn Cameras","","Coban","https://www.oregonohio.org/images/stories/docs/citycouncil/minutes/2016/M20160606%20C.pdf","","City of Oregon, Ohio","","06/06/2016","https://www.facebook.com/OregonOhioPolice/photos/a.621037904603345/3189138407793269/?type=3&theater","","Facebook page for the police department","","08/14/2019","","","","","",""
"AOS000029","KY1140100BWC","Bowling Green","Warren County","KY","Bowling Green Police Department","Police","The Bowling Green Police Department purchased 95 Coban body-worn Cameras in 2016.","Municipal","Body-worn Cameras","","Coban","https://www.bgdailynews.com/news/bgpd-officers-to-have-body-cams-by-the-end-of/article_85d591d1-1a6d-50c8-b7cb-57b5b2109c5a.html","","Bowling Green Daily News organization","","05/19/2016","https://www.wbko.com/content/news/The-view-from-a-police-body-cam-and-the-story-it-tells-446281113.html","","WBKO Local News","","09/20/2017","","","","","",""
"AOS000034","TX1780200BWC","Corpus Christi","Nueces County","TX","Corpus Christi Police Department","Police","The Corpus Christi Police Department has 178 body-worn cameras as of May 2019.","Municipal","Body-worn Cameras","","","https://www.caller.com/story/news/crime/2019/05/02/corpus-christi-police-officials-no-body-cam-torreon-shooting/3655170002/","","Caller Times","","05/02/2019","https://www.documentcloud.org/documents/6573651-2015-BWCPIP-Award-Fact-Sheet.html","","U.S Department of Justice","","2015","","","","","",""
"AOS000035","TX0140300BWC","Harker Heights","Bell County","TX","Harker Heights Police Department","Police","The Harker Heights Police Department patrol officers wear Coban body-worn cameras.","Municipal","Body-worn Cameras","","Coban","http://www.ci.harker-heights.tx.us/images/PDF/HarkerHeightsFY2017-2018BudgetBook.pdf","","Harker Heights government website.","","2017/2018","https://www.facebook.com/harkerheightspd/photos/a.1677204508960964/3483623328319064/?type=3&theater","","Harker Heights Police Department Facebook","","01/14/2020","","","","","",""
"AOS000039","OH0470200BWC","Avon","Lorain County","OH","Avon Police Department","Police","The Avon Police Department spent $20,000 to equip all 35 of its officers with body-worn cameras in 2016.","Municipal","Body-worn Cameras","","","https://www.cleveland.com/avon/2016/01/avon_police_wear_body_cameras.html","","Cleveland.com, northeast Ohio news source","","01/11/2019","https://www.facebook.com/AvonOH/photos/a.366117700257281/744941325708248/?type=3&theater","","City of Avon, Ohio Facebook photo","","01/19/2018","","","","","",""
"AOS000043","NY0136300BWC","Poughkeepsie","Dutchess County","NY","Poughkeepsie Police Department","Police","The Poughkeepsie Police Department purchased 65 Axon body-worn cameras in 2020.","Municipal","Body-worn Cameras","","Axon","https://www.dailyfreeman.com/news/local-news/poughkeepsie-police-begin-using-body-worn-cameras/article_acf223a2-3f8d-11ea-96bd-4b389d4aeb3f.html","","Daily Freeman","","01/25/2020","https://cityofpoughkeepsie.com/police-department/2020/01/23/city-of-poughkeepsie-police-begin-using-body-worn-cameras/","","City of Poughkeepsie Police Department","","01/23/2020","","","","","",""
"AOS000046","TX1990100BWC","Rockwall","Rockwall County","TX","Rockwall Police Department","Police","In 2017, the Rockwall Police Department received a grant from the governor of Texas to outfit every patrol officer with body-worn cameras. In 2018, RPD switched from Coban to GETAC-brand cameras. The city's 2020 budget included $47,000 for GETAC-brand BWCs.","Municipal","Body-worn Cameras","","Getac","http://www.rockwall.com/documents/finance/FY20%20Proposed%20Budget.pdf","","City of Rockwall","","08/19/2019","http://www.rockwall.com/Meetings/CouncilMinutes/2018/03-19-18%20cc%20mtg%20mins.pdf","","City of Rockwall","","03/19/2018","","","","","",""
"AOS000047","WI0280000BWC","Jefferson","Jefferson County","WI","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office uses body-worn cameras.","County","Body-worn Cameras","","","https://www.facebook.com/678284275517798/photos/a.689632877716271/3070438786302323/?type=3&theater","","Jefferson County Sheriff's Office's Facebook Page","","03/05/2020","https://www.doj.state.wi.us/sites/default/files/oid-reports/18-226/DCI%20Investigative%20File%20Public%20Records%20Release%20-%20DCI%20Case%20Reports.pdf","","Wisconsin Department of Justice","","01/14/2018","","","","","",""
"AOS000048","FL0370600BWC","Tallahassee","Leon County","FL","Florida State University Police Department","Police","The Florida State University Police Department began using body-worn cameras as early as 2014.","University","Body-worn Cameras","","Coban","https://www.fsunews.com/story/news/2014/12/03/fsupd-invests-in-police-body-cameras/19904629/","","FSU News","","12/04/2014","https://www.facebook.com/FSUPoliceDepartment/photos/a.682295928470850/2688361991197557/?type=3&theater","","Facebook","","09/25/2019","","","","","",""
"AOS000049","PA0480400BWC","Easton","Northampton County","PA","Easton Police Department","Police","The Easton Police Department purchased 61 body-worn Cameras in 2019.","Municipal","Body-worn Cameras","","","https://www.mcall.com/news/local/easton/mc-nws-easton-body-cam-20191013-vk6sahxtwfdajjkcvbuq5yhbeu-story.html","","Morning Call","","10/13/2019","","","","","","","","","","",""
"AOS000055","WV0490100BWC","Buckhannon","Upshur County","WV","Buckhannon Police Department","Police","The Buckhannon Police Department spent $14,000 on nine body-worn cameras in early 2015.","Municipal","Body-worn Cameras","","","https://wvpress.org/copydesk/insight/buckhannon-police-wear-body-cameras/","","The Inter-Mountain","","09/25/2014","","","","","","","","","","",""
"AOS000068","TX1700000BWC","Conroe","Montgomery County","TX","Montgomery County Sheriff's Office","Police","Montgomery County Sheriff's Office deployed 30 body-worn cameras in November of 2018.","County","Body-worn Cameras","","Axon","https://www.timesherald.com/news/montgomery-county-sheriff-s-office-announces-deployment-of-body-cams/article_3125b216-ecff-11e8-9cd9-7fbbe12a18b8.html","","The Times Herald","","11/20/2018","","","","","","","","","","",""
"AOS000069","XX0000098BWC","New Caney","Montgomery County","TX","Montgomery County Constables Precinct 4","Constables","Over half of the Montgomery County Constables Precinct 4 staff use Axon body-worn cameras.","County","Body-worn Cameras","","Axon","https://www.yourconroenews.com/neighborhood/moco/news/article/Montgomery-County-Precinct-4-deputies-get-new-13604079.php","","The Courier of Montgomery County","","02/09/2019","","","","","","","","","","",""
"AOS000070","TX1370100BWC","Kingsville","Kleberg County","TX","Kingsville Police Department","Police","In 2017, the Kingsville Police Department received a grant from the Office of the Texas's Governor Criminal Justice Division for the purchase of 35 Coban body-worn cameras and a 30-terabyte server to store footage.","Municipal","Body-worn Cameras","","Coban","http://www.kingsvillerecord.com/news/kpd-awarded-grant-for-purchase-of-body-worn-cameras/article_a62c26b6-167e-11e7-a6d1-d30c12e0adca.html","","Kingsville Record and Bishop News","","4/1/2017","http://www.kingsvillerecord.com/news/kpd-will-use-new-body-cameras-soon/article_ce67586c-7160-11e6-866a-9b264200715a.html","","Kingsville Record and Bishop News","","09/03/2016","","","","","",""
"AOS000072","NY0140000BWC","Buffalo","Erie County","NY","Erie County Sheriff's Office","Sheriff","In October 2017, the Erie County Sheriff's Office began a body-worn camera pilot progam with 12 Axon cameras. In 2019, the Erie County legislature approved a 5-year contract with Axon to expand the BWC program for $1.6 million.","County","Body-worn Cameras","","Axon","http://www2.erie.gov/sheriff/index.php?q=press/sheriff-starts-body-worn-camera-trial","","Erie County Sheriff's Office","","10/11/2017","http://www2.erie.gov/purchasing/sites/www2.erie.gov.purchasing/files/uploads/rfps/PROFESSIONAL%20SERVICES%20TO%20ACQUIRE%20AND%20IMPLEMENT%20A%20BODY%20WORN%20CAMERA%20SYSTEM%20RFP%201929VF.pdf","","Erie County Sheriff's Office","","06/19/2019","http://www2.erie.gov/legislature/sites/www2.erie.gov.legislature/files/uploads/Session_Folders/2019/21/19Comm.21E-9.pdf","","Erie Public Safety Committee","","10/21/2019",""
"AOS000075","MO0950H00BWC","Maryland Heights","St. Louis County","MO","Maryland Heights Police Department","Police","Maryland Heights Police Department officers wear body-worn cameras, according to social media posts as recent as 2019.","Municipal","Body-worn Cameras","","","https://twitter.com/MHPolice/status/1187823682724519936/photo/1","","Maryland Heights Police Department Twitter account","","10/25/2019","https://twitter.com/MHPolice/status/1177782537709596672/photo/2","","Maryland Heights Police Department Twitter account","","9/27/2019","","","","","",""
"AOS000076","TX0210000BWC","Bryan","Brazos County","TX","Brazos County Sheriff's Office","Sheriff","As of 2016, the Brazos County Sheriff's Office distribued 49 body-worn cameras among its patrol, courthouse security, crisis intervention team, and jail transport personnel.","County","Body-worn Cameras","","Panasonic","https://www.county.org/TAC/media/TACMedia/County%20Magazine/Past%20Issues/2016/CountyMag_JanFeb2016.pdf","","County Magazine","","2016","https://www.kbtx.com/home/headlines/Brazos-County-Sheriffs-Office-Now-Using-40-Body-Cameras-For-Deputies-252547931.html","","KBTX News and Media","","03/26/14","","","","","",""
"AOS000079","TX0360000BWC","Anahuac","Chambers County","TX","Chambers County Sheriff's Office","Sheriff","The Chambers County Sheriff's Office purchased 43 Coban body-worn cameras in 2017.","County","Body-worn Cameras","","Coban","http://baytownsun.com/news/article_e02a2292-36c1-11e7-927b-5f7afdd26019.html?mode=jqm","","The Baytown Sun","","5/12/2017","https://www.facebook.com/457548700999996/photos/a.702705216484342/2517072465047599/?type=3&theater","","Chambers County Sheriff's Office Facebook page","","10/31/2019","","","","","",""
"AOS000080","NV0160200BWC","Sparks","Washoe County","NV","Sparks Police Department","Police","The Sparks Police Department began using Axon body-worn cameras in June 2018.","Municipal","Body-worn Cameras","","","http://www.sparkspolice.com/use-force-data/public-stats-data/body-worn-cameras/","","Sparks Police Department","","6/11/2018","http://www.sparkspolice.com/wp-content/uploads/2018/06/7.34-Body-Worn-Cameras-June-2018.pdf","","Sparks Police Department","","6/14/2018","","","","","",""
"AOS000081","NV0040100BWC","Elko","Elko County","NV","Elko Police Department","Police","Elko Police Department signed a $224,000 contract with Axon for 40 body-worn cameras and video storage in June 2018.","Municipal","Body-worn Cameras","","Axon","https://elkodaily.com/news/local/city-to-spend-k-for-police-body-cameras/article_67a28798-9017-535a-9fd6-6663bf846b10.html","","Elko Daily","","06/27/2018","","","","","","","","","","",""
"AOS000083","NV0040000BWC","Elko","Elko County","NV","Elko County Sheriff's Office","Sheriff","The Elko County Sheriff's Office began its body-worn camera program in 2014. As of 2017, the office had spent more than $10,000 on 60 cameras.","County","Body-worn Cameras","","","https://elkodaily.com/news/local/elko-county-concerned-about-storage-of-data-from-police-body/article_7550e1c1-39a7-5e15-83cf-f6db5e2cdbb8.html","","Elko Daily","","05/31/2017","","","","","","","","","","",""
"AOS000085","XX0000051BWC","Gloucester","Gloucester County","VA","Gloucester County Animal Control Department","Animal Control","Gloucester County Animal Control officers have used body-worn cameras since at least 2018.","County","Body-worn Cameras","","","https://www.gloucesterva.info/DocumentCenter/View/6165/Section-725-Body-Worn-Camera-Policy?bidId=","","Gloucester County","","10/01/2018","","","","","","","","","","",""
"AOS000086","VA0360000BWC","Gloucester","Gloucester County","VA","Gloucester County Sheriff's Office","Sheriff","The Gloucester County Sheriff's Office has charged an $18.53 fee per freedom of information request for body-worn camera footage since 2016.","County","Body-worn Cameras","","Axon","https://www.gloucesterva.info/DocumentCenter/View/6854/Freedom-of-Information-Act---Body-Camera-Footage-Request","","Gloucester County Sheriff's Office","","2016","https://www.facebook.com/GloucesterCountySheriffsOffice/photos/a.152620554864589/2496199637173324/?type=3&theater","","Gloucester County Sheriff's Office Facebook page","","01/27/2020","https://www.facebook.com/GloucesterCountySheriffsOffice/photos/a.152620554864589/2416097925183496/?type=3&theater","","Gloucester County Sheriff's Office","","12/18/2019",""
"AOS000088","NV0160100BWC","Reno","Washoe County","NV","Reno Police Department","Police","The Reno Police Department has been using Axon body-worn cameras since at least 2018. In 2022, the agency upgraded to Axon's Fleet model.","Municipal","Body-worn Cameras","","Axon","https://reno.primegov.com/Portal/viewer?id=1173&type=2","","Reno Police Department","","Meeting documents","https://www.ktvn.com/story/38400035/local-officers-begin-wearing-body-cameras","","2 News","","06/11/2018","Reno City Council","","https://www.reno.gov/Home/Components/News/News/20302/576?backlist=%2F","","10/26/2022",""
"AOS000089","NV0030000BWC","Minden","Douglas County","NV","Douglas County Sheriff's Office","Sheriff","Douglas County Sheriff's Office outfitted 107 deputies with Axon body-worn cameras in 2017.","County","Body-worn Cameras","","Axon","https://www.tahoedailytribune.com/news/local/douglas-deputies-start-packing-body-cameras/","","Tahoe Daily Tribune","","07/10/2018","http://southtahoenow.com/story/06/27/2018/douglas-county-sheriffs-deputies-start-wearing-body-cameras","","South Tahoe Now","","06/27/2018","https://knpr.org/knpr/2018-04/douglas-county-equip-sheriffs-deputies-body-cameras","","Nevada Public Radio","","04/24/2018",""
"AOS000090","TX0700000BWC","Waxahachie","Ellis County","TX","Ellis County Sheriff's Office","Sheriff","The Ellis County Sheriff's Office started using body-worn cameras in 2017. In 2018, they signed a five-year contract with Axon.","County","Body-worn Cameras","","Axon","https://www.midlothianmirror.com/news/20181206/county-commissioners-make-shift-from-precinct-to-countywide-polling","","MidlothianMirror.com","","12/06/2018","","","","","","","","","","",""
"AOS000091","FL0641400BWC","Ponce Inlet","Volusia County","FL","Ponce Inlet Police Department","Police","The Ponce Inlet Police Department uses body-worn cameras.","Municipal","Body-worn Cameras","","","https://www.news-journalonline.com/news/20180422/who-uses-body-cameras-in-florida","","The Daytona Beach News-Journal","","04/23/2018","https://www.clickorlando.com/news/body-cam-video-released-in-attempted-ponce-inlet-kidnapping","","clickorlando.com, News 6","","02/17/2017","","","","","",""
"AOS000092","FL0641000BWC","Orange City","Volusia County","FL","Orange City Police Department","Police","The Orange City Police Department uses body-worn caeras.","County","Body-worn Cameras","","","https://www.theledger.com/news/20180422/who-uses-body-cameras-in-florida","","The Ledger","","4/22/2018","","","","","","","","","","",""
"AOS000093","KS0870100BWC","Derby","Sedgwick County","KS","Derby Police Department","Police","The Derby Police Department launched its department-wide Axon body-worn camera program in 2018. The program will cost $87,000 over five years.","Municipal","Body-worn Cameras","","","http://www.derbyks.com/DocumentCenter/View/2311/2016-Budget-Workshop?bidId=","","City of Derby","","2016","http://www.derbyinformer.com/news/derby_news/body-cameras-for-all-officers-approved/article_59f6173c-f564-11e7-bee7-ab5700caf66f.html","","Derby Informer","","01/10/2018","https://www.kansas.com/news/local/crime/article51783570.html","","kansas.com","","12/27/2015",""
"AOS000094","NV0020100BWC","Las Vegas","Clark County","NV","Las Vegas Metropolitan Police Department","Police","The Las Vegas Metropolitan Police Department began testing body-worn cameras in 2011. As of 2017, LVMPD had purchased about 2,000 BWCs from Axon.","Municipal","Body-worn Cameras","","","https://www.reviewjournal.com/crime/north-las-vegas-police-yet-to-deploy-state-required-body-cameras-1618524/","","Las Vegas Review Journal","","03/14/2019","https://www.prnewswire.com/news-releases/more-body-worn-cameras-less-use-of-force-study-reveals-compelling-correlation-300568324.html","","PR Newswire","","12/07/2017","https://www.cna.org/cna_files/pdf/IRM-2017-U-016112-Final.pdf","","CNA","","09/28/2017",""
"AOS000095","FL0641200BWC","Port Orange","Volusia County","FL","Port Orange Police Department","Police","The Port Orange Police Department began using Axon body-worn cameras in 2016.","Municipal","Body-worn Cameras","","Axon","https://www.port-orange.org/DocumentCenter/View/5334/2018-Annual-Report?bidId=","","Port Orange Police Department Annual Report","","04/2019","https://www.news-journalonline.com/news/20160815/port-orange-police-add-body-cameras-to-uniforms","","Daytona Beach News Journal","","08/15/2016","http://www.newsdaytonabeach.com/wndb-news/port-orange-police-begin-use-of-bodycams/","","WNDB, News Daytona Beach","","08/16/2016",""
"AOS000096","NC0600100BWC","Charlotte","Mecklenburg County","NC","Charlotte-Mecklenburg Police Department","Police","The Charlotte-Mecklenurg Police Department has been using body-worn cameras since at least 2014. In 2022, the agency replaced its previous model with Axon BWCs.","County","Body-worn Cameras","","Axon","https://www.charlotteobserver.com/news/local/article258392413.html","","Charlotte Observer","","02/15/2022","http://charlottepolicefoundation.org/about-the-foundation/body-worn-cameras.php","","Charlotte-Mecklenurg Police Foundation","","","https://www.wcnc.com/article/news/investigations/investigators/cmpd-to-expand-oversight-of-body-camera-failures/275-00c2548f-d271-4ed7-969b-99730df69837","","WCNC","","01/13/2020",""
"AOS000097","MO0100200BWC","Columbia","Boone County","MO","Columbia Police Department","Police","The Columbia Police Department began using Axon body-worn cameras in 2012 and implemented them department-wide in 2014.","Municipal","Body-worn Cameras","","Axon","https://www.columbiatribune.com/news/20170909/vast-body-camera-footage-strains-time-of-columbia-police","","Columbia Daily Tribune. his source provides most of the summary above on how the police department has so much footage.","","09/09/2017","https://www.columbiamissourian.com/news/local/an-eye-for-the-public-police-officers-and-body-worn/article_9e1dc9a6-8a49-11e5-9c0f-5b3de665e97b.html","","Missourian","","10/21/2015","","","","","",""
"AOS000098","NC0880000BWC","Brevard","Transylvania County","NC","Transylvania County Sheriff's Office","Sheriff","The Transylvania County Sheriff's Office purchased 15 body-worn cameras in 2015.","County","Body-worn Cameras","","","https://www.blueridgenow.com/news/20150208/some-police-departments-consider-body-cameras-others-hesitate","","Hendersonville Times-News","","2/8/2015","","","","","","","","","","",""
"AOS000099","NJ0050000BWC","Cape May Court House","Cape May County","NJ","Cape May County Sheriff's Office","Sheriff","The Cape May County Sheriff’s Office has 75 body-worn cameras, according to a 2020 survey from New Jersey Attorney General's Office.","County","Body-worn Cameras","","Axon","https://www.nj.gov/oag/newsreleases20/2020-BWC-Survey_FULL.pdf","","New Jersey Attorney General's Office","","2020","http://www.cmcsheriff.net/forms/SOP219%20Body%20Worn%20Cameras.pdf","","CMCSheriff","","5/10/2019","http://www.cmcsheriff.net/body_cameras.html","","Info on government website","","5/20/2019",""
"AOS000100","VA1050000BWC","Colonial Heights","","VA","Colonial Heights Police Department","Police","The Colonial Heights Police Department purchased 42 body cameras for approximately $70,000 in 2014.","Municipal","Body-worn Cameras","","","http://www.colonialheightsva.gov/Archive/ViewFile/Item/830","","Government agency","","9/18/2014","","","","","","","","","","",""
"AOS000102","NC0330100BWC","Rocky Mount","Nash County","NC","Rocky Mount Police Department","Police","The Rocky Mount Police Department rolled out its body-worn camera program in 2017.","Municipal","Body-worn Cameras","","Axon","https://www.rockymountnc.gov/UserFiles/Servers/Server_230888/File/Departments%20&%20Services/Police/2016%20Annual%20Police%20Report.pdf","","Rocky Mount Police Department","","02/08/2017","https://rockymountnc.gov/UserFiles/Servers/Server_230888/File/Government/Mayor%20&%20City%20Council/Agendas%20&%20Minutes/2019/June%2024/Item%2016.pdf","","Rocky Mount City Manager's Office","","06/12/2019","","","","","",""
"AOS000103","CA0120700BWC","Rio Dell","Humboldt County","CA","Rio Dell Police Department","Police","The Rio Dell Police Department began using Axon body-worn cameras in 2015","Municipal","Body-worn Cameras","","Axon","https://www.times-standard.com/2017/07/27/humboldt-county-police-body-cameras-in-the-future-for-some-now-for-others/","","The Times-Standard","","07/27/2017","https://www.northcoastjournal.com/humboldt/camera-questions/Content?oid=2846197","","North Cast Journal of Politics, People & Art","","03/19/2015","https://www.times-standard.com/2018/10/04/body-cam-law-will-impact-local-police-departments/","","The Times-Standard","","10/04/2018",""
"AOS000104","FL0481400BWC","Orlando","Orange County","FL","University of Central Florida Police Department","Police","The University of Central Florida Police Department uses Axon body-worn cameras.","University","Body-worn Cameras","","Axon","http://www.nicholsonstudentmedia.com/news/ucfpd-chief-implements-new-technology-to-increase-transparency-safety/article_7c06f896-b53f-11e8-a7e9-0b35f3df7322.html","","Nicholson Student Media","","11/5/2018","https://knightnews.com/2019/07/body-cam-police-records-tell-a-new-story/","","Knightnews.com","","07/30/2019","","","","","",""
"AOS000107","GA0440200BWC","Decatur","DeKalb County","GA","DeKalb County Police Department","Police","In 2016, DeKalb County Police Department purchased 600 Utlity body-worn cameras.","County","Body-worn Cameras","","Coreforce","https://www.prnewswire.com/news-releases/georgias-dekalb-county-police-department-chooses-bodyworn-as-its-exclusive-body-camera-solution-300301433.html","","Utlity","","07/20/2016","","","","","","","","","","",""
"AOS000109","VT0030300BWC","St. Johnsbury","Caledonia County","VT","St. Johnsbury Police Department","Police","The St. Johnsbury Police Department began testing body-worn cameras in 2016 and was using them widely in 2019.","Municipal","Body-worn Cameras","","","http://stjvt.com/index.php/town-documents/town-government/public-meeting/10-selectboard/minutes/board-of-selectmen-meeting-minutes-for-2018/1195-2018-09-27-minutes/file.html","","St. Johnsbury Select Board","","08/27/2018","http://stjvt.com/images/2019_Audit.pdf","","Town of St Johnsbury Audit Report","","06/30/2019","http://www.news7newslinc.net/index.php/around-the-nek/st-johnsbury/1832-new-police-body-cams","","NewsLINC","","9/21/2016",""
"AOS000112","DE0030500BWC","Milford","Kent County","DE","Milford Police Department","Police","The Milford Police Department implemented a body-worn camera program in 2017.","Municipal","Body-worn Cameras","","","https://www.cityofmilford.com/Archive/ViewFile/Item/2219","","Milford City Council","","02/13/2019","","","","","","","","","","",""
